Instruction	Word	song	valence	arousal	marker	pracwords.thisRepN	pracwords.thisTrialN	pracwords.thisN	pracwords.thisIndex	songtrials.thisRepN	songtrials.thisTrialN	songtrials.thisN	songtrials.thisIndex	words.thisRepN	words.thisTrialN	words.thisN	words.thisIndex	begin.keys	begin.rt	arousalkey.keys	arousalkey.rt	valencekey.keys	valencekey.rt	likekey.keys	likekey.rt	WordResponse.keys	WordResponse.rt	key_resp_2.keys	key_resp_2.rt	participant	session	date	expName	psychopyVersion	frameRate
To what extent did the music make you feel 	ACTIVE	30MonoWAV/30MonoF3.wav	1	2	3					0	1	1	2	0	6	6	9									4	2.418847798			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ANXIOUS 	30MonoWAV/30MonoF3.wav	1	2	3					0	1	1	2	0	7	7	1									5	1.783035668			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ALERT	30MonoWAV/30MonoF3.wav	1	2	3					0	1	1	2	0	8	8	8									5	0.91816647			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ANGRY	30MonoWAV/30MonoF3.wav	1	2	3					0	1	1	2	0	9	9	2									3	1.68569631			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ASHAMED	30MonoWAV/30MonoF3.wav	1	2	3					0	1	1	2	0	10	10	4									3	1.788200233			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	FRUSTRATED	30MonoWAV/30MonoF3.wav	1	2	3					0	1	1	2	0	11	11	3									4	3.289219895			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
		30MonoWAV/30MonoF3.wav	1	2	3					0	1	1	2																	999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	EXCITED	30MonoWAV/30MonoF4.wav	1	2	4					0	2	2	3	0	0	0	7			4	7.241224556	3	1.652623847			4	2.320963614			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	FRUSTRATED	30MonoWAV/30MonoF4.wav	1	2	4					0	2	2	3	0	1	1	3									4	3.107338563			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ASHAMED	30MonoWAV/30MonoF4.wav	1	2	4					0	2	2	3	0	2	2	4									4	2.468324398			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	GUILTY	30MonoWAV/30MonoF4.wav	1	2	4					0	2	2	3	0	3	3	5									3	1.75137193			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ANGRY	30MonoWAV/30MonoF4.wav	1	2	4					0	2	2	3	0	4	4	2									4	2.134798545			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ALERT	30MonoWAV/30MonoF4.wav	1	2	4					0	2	2	3	0	5	5	8									5	1.318113663			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ACTIVE	30MonoWAV/30MonoF4.wav	1	2	4					0	2	2	3	0	6	6	9									5	2.568989134			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	TENDER	30MonoWAV/30MonoF4.wav	1	2	4					0	2	2	3	0	7	7	10									4	1.334985487			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ANXIOUS 	30MonoWAV/30MonoF4.wav	1	2	4					0	2	2	3	0	8	8	1									5	1.98412579			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	SCARED	30MonoWAV/30MonoF4.wav	1	2	4					0	2	2	3	0	9	9	11									5	1.201534796			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	HAPPY	30MonoWAV/30MonoF4.wav	1	2	4					0	2	2	3	0	10	10	6									1	2.486308646			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	SAD	30MonoWAV/30MonoF4.wav	1	2	4					0	2	2	3	0	11	11	0									4	1.950596502			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
		30MonoWAV/30MonoF4.wav	1	2	4					0	2	2	3																	999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	HAPPY	30MonoWAV/30MonoH3.wav	2	2	7					0	3	3	6	0	0	0	6			4	4.033300861	5	3.470129829			5	1.234585509			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	TENDER	30MonoWAV/30MonoH3.wav	2	2	7					0	3	3	6	0	1	1	10									4	1.30148149			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ASHAMED	30MonoWAV/30MonoH3.wav	2	2	7					0	3	3	6	0	2	2	4									1	1.90092525			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ANXIOUS 	30MonoWAV/30MonoH3.wav	2	2	7					0	3	3	6	0	3	3	1									1	1.218822177			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	GUILTY	30MonoWAV/30MonoH3.wav	2	2	7					0	3	3	6	0	4	4	5									1	1.40186474			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	EXCITED	30MonoWAV/30MonoH3.wav	2	2	7					0	3	3	6	0	5	5	7									5	1.733905241			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ALERT	30MonoWAV/30MonoH3.wav	2	2	7					0	3	3	6	0	6	6	8									4	2.650280662			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	FRUSTRATED	30MonoWAV/30MonoH3.wav	2	2	7					0	3	3	6	0	7	7	3									1	1.301769826			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	SCARED	30MonoWAV/30MonoH3.wav	2	2	7					0	3	3	6	0	8	8	11									1	1.218675691			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ACTIVE	30MonoWAV/30MonoH3.wav	2	2	7					0	3	3	6	0	9	9	9									4	1.990033255			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ANGRY	30MonoWAV/30MonoH3.wav	2	2	7					0	3	3	6	0	10	10	2									1	1.285970144			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	SAD	30MonoWAV/30MonoH3.wav	2	2	7					0	3	3	6	0	11	11	0									1	2.271707985			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
		30MonoWAV/30MonoH3.wav	2	2	7					0	3	3	6																	999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ACTIVE	30MonoWAV/30MonoT1.wav	2	1	13					0	4	4	12	0	0	0	9			1	4.872680161	4	2.321516267			1	3.239201064			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ASHAMED	30MonoWAV/30MonoT1.wav	2	1	13					0	4	4	12	0	1	1	4									1	1.390404966			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	SAD	30MonoWAV/30MonoT1.wav	2	1	13					0	4	4	12	0	2	2	0									2	1.501607445			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ANXIOUS 	30MonoWAV/30MonoT1.wav	2	1	13					0	4	4	12	0	3	3	1									1	1.535328038			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	HAPPY	30MonoWAV/30MonoT1.wav	2	1	13					0	4	4	12	0	4	4	6									4	2.235157488			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	EXCITED	30MonoWAV/30MonoT1.wav	2	1	13					0	4	4	12	0	5	5	7									3	1.835165234			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	SCARED	30MonoWAV/30MonoT1.wav	2	1	13					0	4	4	12	0	6	6	11									1	2.1986413			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	FRUSTRATED	30MonoWAV/30MonoT1.wav	2	1	13					0	4	4	12	0	7	7	3									1	1.184970293			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	GUILTY	30MonoWAV/30MonoT1.wav	2	1	13					0	4	4	12	0	8	8	5									1	1.268215981			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ALERT	30MonoWAV/30MonoT1.wav	2	1	13					0	4	4	12	0	9	9	8									1	2.068590593			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	TENDER	30MonoWAV/30MonoT1.wav	2	1	13					0	4	4	12	0	10	10	10									2	2.56770657			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ANGRY	30MonoWAV/30MonoT1.wav	2	1	13					0	4	4	12	0	11	11	2									1	7.502085199			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
		30MonoWAV/30MonoT1.wav	2	1	13					0	4	4	12																	999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ANXIOUS 	30MonoWAV/30MonoH4.wav	2	2	8					0	5	5	7	0	0	0	1			4	3.284516313	4	1.301756013			2	2.550361951			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ANGRY	30MonoWAV/30MonoH4.wav	2	2	8					0	5	5	7	0	1	1	2									1	1.218503929			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ACTIVE	30MonoWAV/30MonoH4.wav	2	2	8					0	5	5	7	0	2	2	9									5	1.868946856			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	HAPPY	30MonoWAV/30MonoH4.wav	2	2	8					0	5	5	7	0	3	3	6									4	1.768090562			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	GUILTY	30MonoWAV/30MonoH4.wav	2	2	8					0	5	5	7	0	4	4	5									1	1.901930592			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	FRUSTRATED	30MonoWAV/30MonoH4.wav	2	2	8					0	5	5	7	0	5	5	3									1	4.468429538			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	TENDER	30MonoWAV/30MonoH4.wav	2	2	8					0	5	5	7	0	6	6	10									3	1.285270279			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ASHAMED	30MonoWAV/30MonoH4.wav	2	2	8					0	5	5	7	0	7	7	4									1	2.551069735			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ALERT	30MonoWAV/30MonoH4.wav	2	2	8					0	5	5	7	0	8	8	8									4	1.801836785			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	SCARED	30MonoWAV/30MonoH4.wav	2	2	8					0	5	5	7	0	9	9	11									1	1.984339417			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	EXCITED	30MonoWAV/30MonoH4.wav	2	2	8					0	5	5	7	0	10	10	7									5	1.401424107			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	SAD	30MonoWAV/30MonoH4.wav	2	2	8					0	5	5	7	0	11	11	0									1	1.751512169			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
		30MonoWAV/30MonoH4.wav	2	2	8					0	5	5	7																	999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ACTIVE	30MonoWAV/30MonoS1.wav	1	1	9					0	6	6	8	0	0	0	9			3	2.938992758	4	2.97214552			2	4.640163332			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	EXCITED	30MonoWAV/30MonoS1.wav	1	1	9					0	6	6	8	0	1	1	7									1	2.368844077			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	TENDER	30MonoWAV/30MonoS1.wav	1	1	9					0	6	6	8	0	2	2	10									4	2.10100875			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ANGRY	30MonoWAV/30MonoS1.wav	1	1	9					0	6	6	8	0	3	3	2									2	4.634552098			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ANXIOUS 	30MonoWAV/30MonoS1.wav	1	1	9					0	6	6	8	0	4	4	1									4	2.551715925			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	SAD	30MonoWAV/30MonoS1.wav	1	1	9					0	6	6	8	0	5	5	0									5	1.283885816			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	FRUSTRATED	30MonoWAV/30MonoS1.wav	1	1	9					0	6	6	8	0	6	6	3									3	4.817652469			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	SCARED	30MonoWAV/30MonoS1.wav	1	1	9					0	6	6	8	0	7	7	11									3	1.751119293			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ALERT	30MonoWAV/30MonoS1.wav	1	1	9					0	6	6	8	0	8	8	8									3	1.884568533			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ASHAMED	30MonoWAV/30MonoS1.wav	1	1	9					0	6	6	8	0	9	9	4									4	1.601428354			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	HAPPY	30MonoWAV/30MonoS1.wav	1	1	9					0	6	6	8	0	10	10	6									1	2.118043117			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	GUILTY	30MonoWAV/30MonoS1.wav	1	1	9					0	6	6	8	0	11	11	5									5	5.66702707			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
		30MonoWAV/30MonoS1.wav	1	1	9					0	6	6	8																	999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	EXCITED	30MonoWAV/30MonoF2.wav	1	2	2					0	7	7	1	0	0	0	7			4	4.717002855	1	1.601891407			1	2.885906279			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ANGRY	30MonoWAV/30MonoF2.wav	1	2	2					0	7	7	1	0	1	1	2									4	2.618091423			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	SCARED	30MonoWAV/30MonoF2.wav	1	2	2					0	7	7	1	0	2	2	11									5	1.119066472			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ANXIOUS 	30MonoWAV/30MonoF2.wav	1	2	2					0	7	7	1	0	3	3	1									5	1.085159768			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ALERT	30MonoWAV/30MonoF2.wav	1	2	2					0	7	7	1	0	4	4	8									4	1.335044623			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ACTIVE	30MonoWAV/30MonoF2.wav	1	2	2					0	7	7	1	0	5	5	9									4	2.500996466			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	FRUSTRATED	30MonoWAV/30MonoF2.wav	1	2	2					0	7	7	1	0	6	6	3									5	1.15104903			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	GUILTY	30MonoWAV/30MonoF2.wav	1	2	2					0	7	7	1	0	7	7	5									4	1.617819472			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	SAD	30MonoWAV/30MonoF2.wav	1	2	2					0	7	7	1	0	8	8	0									4	2.068221239			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	TENDER	30MonoWAV/30MonoF2.wav	1	2	2					0	7	7	1	0	9	9	10									4	1.051141158			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	HAPPY	30MonoWAV/30MonoF2.wav	1	2	2					0	7	7	1	0	10	10	6									1	2.785204855			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ASHAMED	30MonoWAV/30MonoF2.wav	1	2	2					0	7	7	1	0	11	11	4									4	1.635077909			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
		30MonoWAV/30MonoF2.wav	1	2	2					0	7	7	1																	999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	SCARED	30MonoWAV/30MonoT2.wav	2	1	14					0	8	8	13	0	0	0	11			5	2.369384196	5	1.200767649			1	2.665105085			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	GUILTY	30MonoWAV/30MonoT2.wav	2	1	14					0	8	8	13	0	1	1	5									1	1.434920379			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ALERT	30MonoWAV/30MonoT2.wav	2	1	14					0	8	8	13	0	2	2	8									2	1.502458534			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ASHAMED	30MonoWAV/30MonoT2.wav	2	1	14					0	8	8	13	0	3	3	4									1	2.217376249			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	EXCITED	30MonoWAV/30MonoT2.wav	2	1	14					0	8	8	13	0	4	4	7									4	2.734027917			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	SAD	30MonoWAV/30MonoT2.wav	2	1	14					0	8	8	13	0	5	5	0									1	2.938153349			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	TENDER	30MonoWAV/30MonoT2.wav	2	1	14					0	8	8	13	0	6	6	10									5	3.081095872			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
To what extent did the music make you feel 	ANGRY	30MonoWAV/30MonoT2.wav	2	1	14					0	8	8	13	0	7	7	2									1	1.767938411			999	1	2019_Apr_12_1007	MusicAffectPsychophysiology2019	3.0.5	60.17796767
